row,col,co2
0,0,0.0
0,1,0.0
0,2,2432.8143993155186
0,3,3831.3527066204565
0,4,15167.568884169048
0,5,4641.317435798424
0,6,12649.909898760368
0,7,20431.092506469984
0,8,2788.4471529599646
0,9,0.0
1,0,2009.720068048259
1,1,9065.59148052814
1,2,23855.576789758088
1,3,16646.78752675243
1,4,16567.748073952956
1,5,6015.7616009488
1,6,14694.336977594594
1,7,9536.055160155047
1,8,0.0
1,9,0.0
2,0,322.71021268125725
2,1,11162.742997980473
2,2,21637.15907663262
2,3,30870.278983094322
2,4,22676.219686599874
2,5,19652.30436210491
2,6,8985.271490122372
2,7,8455.608305283116
2,8,0.0
2,9,0.0
3,0,19332.458244086225
3,1,27982.309379880542
3,2,23808.009553879085
3,3,28911.798090045075
3,4,32421.591089142923
3,5,19799.366854761327
3,6,14049.078689178168
3,7,10470.923914879539
3,8,0.0
3,9,0.0
4,0,19779.61645222149
4,1,37065.95601218328
4,2,24208.636253621087
4,3,19084.858142678233
4,4,27351.676599319253
4,5,16794.37142263036
4,6,18425.431710579454
4,7,15927.602376603936
4,8,11466.362170884231
4,9,283.2975482721641
5,0,2411.8102466483415
5,1,8180.5556365002485
5,2,13350.770905285744
5,3,11035.256631117416
5,4,14145.20218794957
5,5,15278.728631105834
5,6,12827.368813645235
5,7,14486.971931498287
5,8,20847.549255286624
5,9,4609.014113509213
6,0,0.0
6,1,4268.191899244124
6,2,21080.66216453198
6,3,22631.35355616387
6,4,12944.328823251017
6,5,16626.404572626914
6,6,30948.68111759351
6,7,9763.063742000864
6,8,6573.071881107926
6,9,0.0
7,0,0.0
7,1,159.17041395052036
7,2,3711.408383345336
7,3,9503.516531525696
7,4,1088.4381700038532
7,5,8290.79141913275
7,6,10519.499530595396
7,7,11291.867332236752
7,8,3690.39996361532
7,9,873.5238755664179
8,0,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,2227.2233107607854
8,7,8168.885551925902
8,8,16689.304571973615
8,9,1334.3279793184734
9,0,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,3224.3439301341386
9,8,8923.623374294884
9,9,7197.9040683912835
